benchmark, time, tune
astar, 195.070631, O3
astar, 194.840242, O3
astar, 194.248214, O3
astar, 197.282831, O3
astar, 195.216108, O3
astar, 194.459573, O3
astar, 194.910545, O3
astar, 194.448975, O3
astar, 194.825835, O3
astar, 194.422443, O3
astar, 194.583938, O3
astar, 194.438566, O3
astar, 194.708005, O3
astar, 193.913305, O3
astar, 194.767013, O3
astar, 194.447825, O3
astar, 194.847148, O3
astar, 195.003484, O3
astar, 194.775316, O3
astar, 194.400306, O3
astar, 194.846388, O3
astar, 194.218205, O3
astar, 194.441483, O3
astar, 194.772994, O3
astar, 194.336855, O3
astar, 194.061349, O3
astar, 194.489297, O3
astar, 194.342273, O3
astar, 194.468881, O3
astar, 193.929119, O3
bzip2, 116.846721, O3
bzip2, 117.239134, O3
bzip2, 116.691906, O3
bzip2, 116.509468, O3
bzip2, 116.930463, O3
bzip2, 117.056389, O3
bzip2, 116.493972, O3
bzip2, 117.010802, O3
bzip2, 117.090588, O3
bzip2, 116.715879, O3
bzip2, 116.771625, O3
bzip2, 116.875846, O3
bzip2, 116.718354, O3
bzip2, 116.951563, O3
bzip2, 116.993269, O3
bzip2, 117.005872, O3
bzip2, 116.897805, O3
bzip2, 116.87604, O3
bzip2, 116.874617, O3
bzip2, 116.894989, O3
bzip2, 116.508719, O3
bzip2, 117.133109, O3
bzip2, 116.98238, O3
bzip2, 116.781419, O3
bzip2, 116.735948, O3
bzip2, 116.934993, O3
bzip2, 116.687879, O3
bzip2, 116.642441, O3
bzip2, 116.992413, O3
bzip2, 116.668808, O3
cactusADM, 36.862103, O3
cactusADM, 37.225789, O3
cactusADM, 36.685584, O3
cactusADM, 37.349879, O3
cactusADM, 37.147553, O3
cactusADM, 37.112864, O3
cactusADM, 36.749495, O3
cactusADM, 37.229707, O3
cactusADM, 37.326167, O3
cactusADM, 36.99664, O3
cactusADM, 37.026724, O3
cactusADM, 36.724234, O3
cactusADM, 37.189847, O3
cactusADM, 39.012597, O3
cactusADM, 37.26234, O3
cactusADM, 36.930931, O3
cactusADM, 37.040964, O3
cactusADM, 36.471572, O3
cactusADM, 37.014324, O3
cactusADM, 36.820432, O3
cactusADM, 36.961781, O3
cactusADM, 37.59045, O3
cactusADM, 37.169954, O3
cactusADM, 37.671441, O3
cactusADM, 37.237439, O3
cactusADM, 37.293674, O3
cactusADM, 37.458741, O3
cactusADM, 37.15631, O3
cactusADM, 36.977143, O3
cactusADM, 36.830134, O3
gcc, 2.448816, O3
gcc, 2.407925, O3
gcc, 2.404715, O3
gcc, 2.407712, O3
gcc, 2.402391, O3
gcc, 2.440365, O3
gcc, 2.429591, O3
gcc, 2.405397, O3
gcc, 2.407201, O3
gcc, 2.416355, O3
gcc, 2.443643, O3
gcc, 2.431861, O3
gcc, 2.44097, O3
gcc, 2.404972, O3
gcc, 2.414, O3
gcc, 2.425364, O3
gcc, 2.398888, O3
gcc, 2.413171, O3
gcc, 2.412898, O3
gcc, 2.43971, O3
gcc, 2.435507, O3
gcc, 2.436198, O3
gcc, 2.419005, O3
gcc, 2.453099, O3
gcc, 2.40885, O3
gcc, 2.429301, O3
gcc, 2.42313, O3
gcc, 2.421465, O3
gcc, 2.405763, O3
gcc, 2.416134, O3
gobmk, 234.45585, O3
gobmk, 234.035992, O3
gobmk, 233.883786, O3
gobmk, 234.119838, O3
gobmk, 234.175946, O3
gobmk, 234.462163, O3
gobmk, 233.531112, O3
gobmk, 235.406701, O3
gobmk, 233.999216, O3
gobmk, 234.196628, O3
gobmk, 234.562609, O3
gobmk, 233.941138, O3
gobmk, 234.291846, O3
gobmk, 234.427949, O3
gobmk, 234.334137, O3
gobmk, 234.54564, O3
gobmk, 233.914153, O3
gobmk, 233.438626, O3
gobmk, 234.482288, O3
gobmk, 234.573949, O3
gobmk, 234.09015, O3
gobmk, 233.963253, O3
gobmk, 233.837896, O3
gobmk, 234.189557, O3
gobmk, 234.192909, O3
gobmk, 234.033265, O3
gobmk, 233.467123, O3
gobmk, 234.00618, O3
gobmk, 233.973952, O3
gobmk, 234.028906, O3
gromacs, 184.086384, O3
gromacs, 184.350956, O3
gromacs, 184.121444, O3
gromacs, 183.923881, O3
gromacs, 184.134576, O3
gromacs, 183.455154, O3
gromacs, 183.665066, O3
gromacs, 183.838763, O3
gromacs, 184.120126, O3
gromacs, 184.356121, O3
gromacs, 183.931632, O3
gromacs, 183.462031, O3
gromacs, 184.105297, O3
gromacs, 183.913617, O3
gromacs, 183.745046, O3
gromacs, 183.946862, O3
gromacs, 184.216023, O3
gromacs, 183.958638, O3
gromacs, 182.928989, O3
gromacs, 184.059509, O3
gromacs, 183.456894, O3
gromacs, 183.445851, O3
gromacs, 183.867355, O3
gromacs, 183.802891, O3
gromacs, 184.530759, O3
gromacs, 183.453408, O3
gromacs, 183.445254, O3
gromacs, 184.116556, O3
gromacs, 183.92927, O3
gromacs, 183.554376, O3
h264ref, 182.196064, O3
h264ref, 181.555046, O3
h264ref, 181.506525, O3
h264ref, 181.127373, O3
h264ref, 181.090307, O3
h264ref, 181.549591, O3
h264ref, 181.936839, O3
h264ref, 181.843169, O3
h264ref, 181.587612, O3
h264ref, 181.381855, O3
h264ref, 182.007135, O3
h264ref, 181.679842, O3
h264ref, 181.558961, O3
h264ref, 181.359231, O3
h264ref, 181.9015, O3
h264ref, 181.391214, O3
h264ref, 181.885872, O3
h264ref, 181.948508, O3
h264ref, 182.070788, O3
h264ref, 181.403686, O3
h264ref, 181.238639, O3
h264ref, 181.950467, O3
h264ref, 181.759544, O3
h264ref, 181.702756, O3
h264ref, 181.744635, O3
h264ref, 182.141009, O3
h264ref, 181.607543, O3
h264ref, 181.876676, O3
h264ref, 181.795757, O3
h264ref, 181.278496, O3
hmmer, 140.917121, O3
hmmer, 140.719264, O3
hmmer, 140.938319, O3
hmmer, 141.743577, O3
hmmer, 141.465764, O3
hmmer, 141.363826, O3
hmmer, 140.767697, O3
hmmer, 141.990559, O3
hmmer, 141.006582, O3
hmmer, 141.139619, O3
hmmer, 140.89059, O3
hmmer, 141.076854, O3
hmmer, 140.890749, O3
hmmer, 140.922235, O3
hmmer, 141.163464, O3
hmmer, 141.090427, O3
hmmer, 141.603588, O3
hmmer, 140.952823, O3
hmmer, 140.687742, O3
hmmer, 140.971193, O3
hmmer, 140.972515, O3
hmmer, 140.837889, O3
hmmer, 140.994297, O3
hmmer, 140.702896, O3
hmmer, 141.096472, O3
hmmer, 140.940638, O3
hmmer, 141.404357, O3
hmmer, 141.144857, O3
hmmer, 141.48208, O3
hmmer, 141.137579, O3
lbm, 48.459008, O3
lbm, 48.418324, O3
lbm, 48.537621, O3
lbm, 48.452461, O3
lbm, 48.446114, O3
lbm, 48.35688, O3
lbm, 48.433462, O3
lbm, 48.385276, O3
lbm, 48.401795, O3
lbm, 48.486207, O3
lbm, 48.437722, O3
lbm, 48.522783, O3
lbm, 48.474305, O3
lbm, 48.557696, O3
lbm, 48.516194, O3
lbm, 48.527184, O3
lbm, 48.442406, O3
lbm, 48.701269, O3
lbm, 48.477239, O3
lbm, 48.517647, O3
lbm, 48.4693, O3
lbm, 48.468221, O3
lbm, 48.467566, O3
lbm, 48.455457, O3
lbm, 48.578451, O3
lbm, 48.469586, O3
lbm, 48.389915, O3
lbm, 48.504634, O3
lbm, 48.464337, O3
lbm, 48.38948, O3
libquantum, 5.197612, O3
libquantum, 5.201797, O3
libquantum, 5.171774, O3
libquantum, 5.153073, O3
libquantum, 5.174098, O3
libquantum, 5.166609, O3
libquantum, 5.195988, O3
libquantum, 5.182377, O3
libquantum, 5.193538, O3
libquantum, 5.189691, O3
libquantum, 5.177982, O3
libquantum, 5.163139, O3
libquantum, 5.161305, O3
libquantum, 5.159317, O3
libquantum, 5.166013, O3
libquantum, 5.222875, O3
libquantum, 5.185457, O3
libquantum, 5.162784, O3
libquantum, 5.161127, O3
libquantum, 5.1944, O3
libquantum, 5.17043, O3
libquantum, 5.157242, O3
libquantum, 5.175713, O3
libquantum, 5.164708, O3
libquantum, 5.187423, O3
libquantum, 5.195055, O3
libquantum, 5.165529, O3
libquantum, 5.165991, O3
libquantum, 5.181306, O3
libquantum, 5.181943, O3
mcf, 32.971804, O3
mcf, 32.539975, O3
mcf, 32.701892, O3
mcf, 32.459353, O3
mcf, 32.727613, O3
mcf, 32.624999, O3
mcf, 32.611262, O3
mcf, 32.413939, O3
mcf, 32.047031, O3
mcf, 32.269155, O3
mcf, 32.82053, O3
mcf, 32.80379, O3
mcf, 32.138246, O3
mcf, 32.620333, O3
mcf, 32.49464, O3
mcf, 32.842115, O3
mcf, 32.623201, O3
mcf, 32.99019, O3
mcf, 33.19096, O3
mcf, 32.378003, O3
