benchmark,time,ext
astar,202.503287,randomized
astar,199.818786,randomized
astar,200.258364,randomized
astar,199.321142,randomized
astar,200.152023,randomized
astar,199.32361,randomized
astar,200.103889,randomized
astar,200.136172,randomized
astar,199.958806,randomized
astar,199.549869,randomized
astar,200.108202,randomized
astar,198.86723,randomized
astar,203.168273,randomized
astar,203.289922,randomized
astar,200.336217,randomized
astar,198.946231,randomized
astar,199.078885,randomized
astar,201.138506,randomized
astar,200.925049,randomized
astar,199.595229,randomized
astar,199.569946,randomized
astar,199.412225,randomized
astar,200.48602,randomized
astar,199.718484,randomized
astar,199.281311,randomized
astar,208.703846,randomized
astar,199.544326,randomized
astar,198.865238,randomized
astar,199.606188,randomized
astar,198.605207,randomized
bzip2,117.410954,randomized
bzip2,117.415681,randomized
bzip2,117.284575,randomized
bzip2,117.58728,randomized
bzip2,117.38537,randomized
bzip2,117.517858,randomized
bzip2,117.537607,randomized
bzip2,117.355762,randomized
bzip2,117.465042,randomized
bzip2,117.126844,randomized
bzip2,117.329378,randomized
bzip2,117.754639,randomized
bzip2,117.808166,randomized
bzip2,117.593812,randomized
bzip2,117.429328,randomized
bzip2,117.757731,randomized
bzip2,117.415862,randomized
bzip2,117.631365,randomized
bzip2,117.580515,randomized
bzip2,117.626992,randomized
bzip2,117.526074,randomized
bzip2,117.599766,randomized
bzip2,117.59298,randomized
bzip2,117.815165,randomized
bzip2,117.328948,randomized
bzip2,117.329956,randomized
bzip2,117.582117,randomized
bzip2,117.51067,randomized
bzip2,117.474707,randomized
bzip2,117.552542,randomized
cactusADM,31.883754,randomized
cactusADM,33.000677,randomized
cactusADM,31.909456,randomized
cactusADM,31.90635,randomized
cactusADM,31.712247,randomized
cactusADM,32.309756,randomized
cactusADM,31.809154,randomized
cactusADM,31.854223,randomized
cactusADM,31.915874,randomized
cactusADM,32.114354,randomized
cactusADM,31.867928,randomized
cactusADM,31.839133,randomized
cactusADM,32.227841,randomized
cactusADM,31.847114,randomized
cactusADM,31.987242,randomized
cactusADM,31.940826,randomized
cactusADM,31.962795,randomized
cactusADM,31.81756,randomized
cactusADM,31.70793,randomized
cactusADM,31.984298,randomized
cactusADM,31.783523,randomized
cactusADM,31.971946,randomized
cactusADM,31.823716,randomized
cactusADM,31.849595,randomized
cactusADM,31.885179,randomized
cactusADM,32.35116,randomized
cactusADM,31.827003,randomized
cactusADM,32.10378,randomized
cactusADM,31.893393,randomized
gcc,2.566718,randomized
gcc,2.575742,randomized
gcc,2.580493,randomized
gcc,2.608254,randomized
gcc,2.551516,randomized
gcc,2.544726,randomized
gcc,2.541583,randomized
gcc,2.597315,randomized
gcc,2.576572,randomized
gcc,2.550325,randomized
gcc,2.564068,randomized
gcc,2.604609,randomized
gcc,2.563148,randomized
gcc,2.585974,randomized
gcc,2.587337,randomized
gcc,2.563362,randomized
gcc,2.559052,randomized
gcc,2.54534,randomized
gcc,2.54828,randomized
gcc,2.555831,randomized
gcc,2.574256,randomized
gcc,2.557682,randomized
gcc,2.578024,randomized
gcc,2.562651,randomized
gcc,2.586243,randomized
gcc,2.595438,randomized
gcc,2.588601,randomized
gcc,2.585995,randomized
gobmk,237.058747,randomized
gobmk,235.497364,randomized
gobmk,235.291079,randomized
gobmk,236.085178,randomized
gobmk,234.757591,randomized
gobmk,234.482297,randomized
gobmk,235.953422,randomized
gobmk,237.005493,randomized
gobmk,237.502916,randomized
gobmk,234.087727,randomized
gobmk,236.368422,randomized
gobmk,235.236065,randomized
gobmk,247.085164,randomized
gobmk,236.850201,randomized
gobmk,237.083391,randomized
gobmk,235.710985,randomized
gobmk,236.109563,randomized
gobmk,236.669689,randomized
gobmk,236.070988,randomized
gobmk,235.372835,randomized
gobmk,233.887676,randomized
gobmk,234.953965,randomized
gobmk,234.966588,randomized
gobmk,238.084075,randomized
gobmk,240.044799,randomized
gobmk,236.176448,randomized
gobmk,236.713363,randomized
gobmk,236.662517,randomized
gobmk,239.585058,randomized
gobmk,239.564934,randomized
gromacs,185.029335,randomized
gromacs,184.077815,randomized
gromacs,184.438243,randomized
gromacs,186.149273,randomized
gromacs,184.044079,randomized
gromacs,184.569899,randomized
gromacs,184.432806,randomized
gromacs,184.304255,randomized
gromacs,184.317181,randomized
gromacs,184.596142,randomized
